Name,Location Lat,Location Lon,Hours M,Hours T,Hours W,Hours R,Hours F,Hours S,Hours U,Deals M,Deals T,Deals W,Deals R,Deals F,Deals S,Deals U,Deals Other,Description,Website,Link to Logo,
1 Republik ,40.73938,-74.030083,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,Daily Special 11 AM - 4PM Power Hour 4 PM - 5 PM Happy Hour  4PM - 7 PM Wing Mondays 7 PM - 2AM,Daily Special 11 AM - 4PM Power Hour 4 PM - 5 PM Happy Hour  4PM - 7 PM TACO TUESDAYS 7 PM - 2 AM,Daily Special 11 AM - 4PM Power Hour 4 PM - 5 PM Happy Hour  4PM - 7 PM LADIES WEDNESDAYS 7 PM - 10:30 PM,Daily Special 11 AM - 4PM Power Hour 4 PM - 5 PM Happy Hour  4PM - 7 PM SIGNATURE THURSDAYS 7 PM - 2 AM,Daily Special 11 AM - 4PM Power Hour 4 PM - 5 PM Happy Hour  4PM - 7 PM SLIDER FRIDAYS 4PM - 7PM,Brunch Saturdays 11AM - 8PM,"INDUSTRY SUNDAYS $2 MIMOSAS & $5 REGULAR MARGARITAS TILL 6PM (FOOTBALL SUNDAYS UNTIL 1PM)
$12 SELECT PITCHERS & $5 GREEN TEA SHOTS TILL 8PM,
1/2 PRICE DRINKS 10PM-CLOSE",,,http://1republik.com/,"https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiW2avxjP_SAhXMz4MKHXRkCn0QjRwIBw&url=http%3A%2F%2Fhobokenhappyhours.com%2Fbar%2F1-republik%2F&bvm=bv.151426398,bs.2,d.cGc&psig=AFQjCNGaMUYm8RTi29VDsvVqpLD_gaEirQ&ust=1490993259391668",http://www.latlong.net/convert-address-to-lat-long.html
Antique Bar & Bakery ,40.738981,-74.034564,Closed,7 AM - 2 AM ,7 AM - 2 AM,7 AM - 2 AM,7 AM - 3 AM,7 AM - 3 AM,7 AM - 12 AM,,,,,,,,,,http://antiquebarbakery.com/,,
Bar at 10th and Willow,40.749061,-74.031061,11 AM -  11 PM,11 AM -  11 PM,11 AM -  11 PM,11 AM -  11 PM,11 AM -  11 PM,11 AM -  11 PM,11 AM -  10 PM,,,,,,,,,,,,
Biggie's Clam Bar on Newark,40.736788,-74.029469,11 AM - 1 AM,11 AM - 1 AM,11 AM - 1 AM,11 AM - 1 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 12 AM,$5 Margs/Mojitos,$3 Blue Moon Drafts,,$2 Coors Products,Happy Hour 3-7,,,,,,,
Black Bear Bar & Grill,40.73894,-74.030271,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Blue Eyes,40.740513,-74.026733,Closed,12 PM - 10 PM,12 PM - 10 PM,12 PM - 10 PM,12 PM - 11 PM,12 PM - 11 PM,12 PM - 10 PM,,,,,,,,,,,,
Brass Rail Restaurant & Bar,40.738585,-74.030313,11:30 AM - 10 PM,11:30 AM - 10 PM,11:30 AM - 10 PM,11:30 AM - 10 PM,11:30 AM - 11 PM,11:30 AM - 11 PM,11 AM - 10 PM,,,,,,,,,,,,
Cadillac Cantina,40.736226,-74.029373,3 PM - 2 AM,3 PM - 2 AM,3 PM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,10 AM - 3 AM,10 AM - 3 AM,,,,,,,,,,,,
Carpe Diem,40.754457,-74.031311,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,4 PM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
City Bistro,40.75334,-74.025423,11:30 AM - 11 PM,11:30 AM - 11 PM,11:30 AM - 11 PM,11:30 AM - 11 PM,11:30 AM - 11 PM,10 AM - 11 PM,10 AM - 10 PM,,,,,,,,,,,,
Coco Havana Cafe & Lounge,40.736742,-74.02924,11 AM - 11 PM,11 AM - 11 PM,11 AM - 11 PM,11 AM - 11 PM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 10 PM,,,,,,,,,,,,
Cooper's Union,40.737544,-74.030052,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Cork City Pub,40.740012,-74.030811,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,12 PM - 3 AM,2 PM - 2 AM,,,,,,,,,,,,
DC's Tavern,40.747272,-74.035982,1 PM - 2 AM ,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,3 PM - 3 AM,2 PM - 3 AM,1 PM - 2 AM,,,,,,,,,,,,
The Dubliner,40.737041,-74.029119,12 PM - 2 AM,12 PM - 2 AM,12 PM - 2 AM,12 PM - 2 AM,12 PM - 3 AM,12 PM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
East LA,40.742585,-74.02965,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 12 PM,,,,,,,,,,,,
FarSide Tavern,40.743155,-74.028972,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Finnegan's Pub,40.746489,-74.032146,5 PM - 2 AM,5 PM - 2 AM,5 PM - 2 AM,5 PM - 2 AM,5 PM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Green Rock Tap & Grill,40.736228,-74.030502,12 PM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Hoboken Bar & Grill,40.739808,-74.030404,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,10 AM - 3 AM,10 AM - 2 AM,Happy Hour: 4-8,,Wing Wednesday; $10 Pitchers,,,,,,,,,
Hotel Victor Bar & Grill,40.736133,-74.029971,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
House of Que,40.740603,-74.02686,11 AM - 12 AM,11 AM - 12 AM,11 AM - 12 AM,11 AM - 1 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 12 AM,,,,Yuengs and Wings,,,,,,,,
